order_Id,Order_number,User_id,Total_amount,Discount_amount,Gross_amount,Shipping_amount,Net_amount,Order_date,Delivery_date,Status,Payment_status,Payment_type,Payment_transaction_id
11,4dd0f43c-a06f-4923-af21-2f012616a662,194,5294.48,1319.67,6154.66,345.18,10440.09,07-01-2024,21-02-2024,shipping,paid,upi,1687a2c6-ceeb-4e52-b2b1-596a892c51ae
12,ac55ff1c-ac8b-4b94-83b1-e16562c82f57,323,8960.74,1710.74,9733.26,196.07,7699.65,04-08-2024,21-01-2024,placed,paid,cod,dc2cbd5e-a990-45d3-a0a4-d7552c52cd43
13,a98214ec-6f0a-45c8-883b-41720b111d9e,717,6068.69,1569.12,9081.31,282.53,2342.02,23-05-2024,20-03-2024,processing,paid,cod,fc2ae935-0269-4371-ac94-d82064baaa36
14,fc82c21d-15fa-441a-b4d0-dbb3c4e4b059,51,7959.18,1921.5,8656.38,50.46,9157.02,01-07-2024,22-09-2024,delivered,not paid,upi,8e632355-3278-4fff-8a5e-5725f3460292
15,ae957c40-cfb1-427c-bb84-8bcab70d35a2,16,7602.74,925.1,11541.27,118.31,10542.98,15-08-2024,06-01-2024,shipping,paid,cod,0b7f1f24-19e1-4068-8606-ce8fc823ff53
16,c229538e-2b4b-4dfa-a69f-613ac5ba1d71,286,1187.69,1900.62,3898.17,197.44,1624.29,02-04-2024,22-09-2024,placed,paid,netbanking,8df86c36-3c63-4819-b137-4c4c2270c806
17,52c04408-b418-47f9-90e7-6d5a97b95541,739,5676.41,664.51,1414.82,238.59,2240.03,15-05-2024,10-04-2024,delivered,not paid,netbanking,04755182-69d3-4ed9-8896-4db600be0dd6
18,44b23031-e3aa-4ebc-a6cc-76c7decec1c5,735,6971.96,1617.96,6843.37,400.15,6937.06,06-07-2024,15-02-2024,placed,not paid,upi,b284311d-c43e-4506-bbc7-997ba9fd9759
19,858223fb-4ed2-4868-b14f-2da71f50a1c8,580,6544.32,890.76,11027.53,398.57,10196.66,19-06-2024,16-01-2024,placed,not paid,cod,dc25ce4e-6222-4871-afe8-85d4a936504d
20,25bed691-2d74-423c-9d0a-3668157d768b,101,3814.85,456.98,7636.45,162.09,9043.82,27-03-2024,09-04-2024,delivered,not paid,cod,66707cd1-013f-4d5e-89d0-fe40bef655d2
21,a39ec7a4-ad80-44e6-8751-4212d460ea92,171,5185.75,1033.8,7235.55,287.59,7154.54,11-02-2024,31-01-2024,placed,not paid,cod,1a48d693-0d5f-47c3-ab37-8100c7f13201
22,b6e652af-d12a-48d7-b9e7-93f8553be92c,146,7205.55,808.24,6010.61,367.61,1857.39,28-02-2024,23-09-2024,delivered,paid,upi,7f8c6e13-91a1-40b0-a5e7-800412204c6a
23,2e195d26-7a4d-4402-afdb-b5dad85f0cb1,572,9329.32,152.38,4470.39,97.3,8638.96,06-09-2024,09-06-2024,processing,paid,netbanking,dbf06066-cba4-478e-98c4-b1aa946b7087
24,b6b3f1fe-4aef-4177-a729-a793bbbe3a15,475,5579.8,1978.12,6060.29,450.76,10954.64,29-09-2024,21-01-2024,delivered,paid,upi,faf2727d-915f-4345-9591-7cc034356a11
25,51cf848a-4ec5-4c70-977a-f9ea79f3aec2,49,2874.61,950.64,11911.47,158.31,7543.33,12-07-2024,28-06-2024,delivered,paid,netbanking,bddc0720-68fb-4eae-9325-e7be4ecd0399
26,9dd64511-4af6-4b60-9f09-5f0e3b7ad58a,647,4294.89,804.95,5803.96,270.61,1632.22,03-09-2024,22-09-2024,placed,not paid,cod,b4953d45-e407-44c6-b2c7-50e993389641
27,3f82893c-a5dd-4aa4-bb14-514d696a9e3d,133,5994.2,1378.16,10422.61,59.99,3884.77,10-02-2024,14-06-2024,delivered,paid,cod,fea77200-8355-408c-bb72-0f738d609424
28,1f0e71fe-6d17-4b6b-b923-b2d6f7678345,294,4661.71,817.59,849.79,246.44,5392.29,25-05-2024,12-01-2024,shipping,paid,cod,77a0d040-0ada-40ad-b373-96480b8e07e7
29,17dae74a-4479-47e3-bdc0-ef035c616482,588,3914.18,943.09,7788.22,52,9285.87,01-01-2024,19-04-2024,processing,not paid,netbanking,31bfe91a-ba47-48c4-9eb7-fbbc8936c883
30,1a2070de-c7ee-487b-9226-973632824342,395,2220.19,136.18,11761.38,214.09,6105.28,04-04-2024,27-02-2024,delivered,not paid,upi,e5b365d6-937c-4dd8-8155-afb460035089
31,4686a6f2-7e37-4097-886a-9ddb599c0c7d,531,6996.22,1563.82,2210.18,342.83,8529.64,26-05-2024,21-04-2024,delivered,paid,cod,c5469d28-4002-4435-b4e8-d575e2afc4a2
32,004a5a5a-ee19-41ba-8c43-74f745795715,529,7367.63,1161.16,1254.71,57.61,8470.58,12-05-2024,24-02-2024,processing,paid,netbanking,4cffff67-7063-4a80-a736-b08f28f35fa4
33,c4ffcadc-30b3-400b-9bc9-7cafdafb4bb7,504,4609.16,670.71,10279.92,315.88,7692.43,13-05-2024,09-09-2024,delivered,not paid,netbanking,752b7608-5937-45fd-b510-ceb2313cfbc7
34,44f07794-bb79-4425-95e2-29429413a662,967,2618.48,993.66,4777.76,84.22,8882.58,24-04-2024,06-08-2024,placed,not paid,netbanking,8713ffa9-6c24-4bb5-8014-34a01d850a40
35,015b7365-2eec-4a4d-bf82-74c5cc73e788,855,7589.41,484.99,4811.56,409.73,6771.75,21-06-2024,24-09-2024,shipping,paid,cod,829bad7d-3a02-412f-97dc-4419ed292891
36,21333f2b-b0ed-41c3-b7b3-2e4b7e8aa455,582,9604.74,428.28,4594.49,215.88,10958.84,07-06-2024,26-05-2024,delivered,not paid,cod,4c839592-66c6-4ade-a241-1875c7d765a5
37,0b97cf37-564e-4ba2-8a57-b64954308700,613,7747.63,163,10948.66,220.92,6505.69,12-01-2024,20-02-2024,shipping,paid,netbanking,a3c31e4c-524e-4ef4-91c6-ee323f9dd170
38,c6073997-de2d-4b1b-bd79-8230ecf4c3cf,13,8717.59,1268.01,765.74,261.46,2346.01,25-02-2024,07-09-2024,placed,paid,cod,7e1a4043-22b2-43d2-bc39-319670d3b360
39,48765a8d-0c42-431c-a8dc-e4dc64fea1c6,132,8210.84,1828.96,5957.05,447.47,4628.23,20-08-2024,23-01-2024,delivered,not paid,upi,0c670105-e713-4797-ae43-4b3167496848
40,f8383fae-1b6d-4f33-94fd-bc55ed70e2fa,802,3950.7,708.86,3982.45,290.53,6412.11,18-06-2024,01-08-2024,placed,paid,netbanking,35cd5d5d-c636-4d06-9c97-9208b518820f
41,18d84a2f-136f-4a54-80eb-650b6ff40c2c,639,2733.2,917.61,11343.86,152.26,2164.22,18-09-2024,29-05-2024,processing,not paid,netbanking,c074313d-75ca-4d5a-a7d1-7b19a57c6e6a
42,d32f92c3-936d-4c4a-8563-b8c44b941e81,380,4059.2,1495.19,2371.31,262.68,2386.27,17-04-2024,25-07-2024,processing,not paid,cod,9331bed6-c3a2-4ca1-b139-5d931a5c2292
43,246d7a0c-9a75-4bf7-9976-4ac34862c890,211,5835.18,673.27,5885.15,255.88,9035.09,08-04-2024,16-01-2024,placed,not paid,cod,9e6ad9c9-55da-41f5-aa52-ffe6e9283ef5
44,6cf3d207-dd4a-4820-b73f-89bdd7b182cd,973,5186.04,393.83,3910,121.3,7577.32,28-03-2024,26-09-2024,processing,not paid,upi,a09530d9-ec5f-4555-8add-912e0ebab562
45,d67b5934-d2cf-4e5b-9b00-3f645cbd1d3e,598,5935.31,408.88,8605.29,355.64,6822.48,01-08-2024,17-09-2024,processing,paid,netbanking,0ba17e50-8515-4124-a0e8-efba5eb0cdb8
46,c7b1a458-fa3a-4170-8d53-7d5a9acfcba9,86,6039.4,976,2940.23,346.82,6034.35,11-09-2024,17-09-2024,processing,paid,upi,64ab3cff-fd0a-44a9-aa33-e246afd16a19
47,77fafed5-ef61-4696-9112-96b0aa19874d,188,7202.58,751.9,7390.28,159.66,10979.42,25-07-2024,28-08-2024,shipping,paid,netbanking,048a896a-022c-4968-b037-a89c3369a9a5
48,3c60b71b-1110-469c-b86d-415ec5fed538,33,3771.76,1315.8,11731.26,60.68,10009.64,22-04-2024,21-08-2024,placed,not paid,upi,20c51f45-4576-4f77-a313-c68d1c2dfd20
49,f770519e-9cb2-4d69-bb4e-260f030bc08e,724,6703.67,1996.05,8595.24,266.52,10868.27,09-04-2024,04-02-2024,placed,paid,upi,08c3c137-36da-48ce-a930-6f735b6814f4
50,4fe5036f-3a45-488e-8ffd-9dee44deb6b6,945,1466.15,709.19,2541.86,384.2,8575.31,10-06-2024,19-08-2024,placed,not paid,netbanking,f466148c-e066-4bc6-8fc5-ef954c49782c
51,ac47f1e8-845a-407c-85c3-063e9ead5eba,962,881.81,1585.92,10986.89,473.65,7237.54,11-07-2024,23-07-2024,processing,not paid,upi,98db61ca-9f12-4abf-a1fc-e83712e64532
52,b1de6775-b886-44b2-a020-3783066b2549,930,9567.27,1070.86,1412.95,150.76,2192.1,07-05-2024,15-05-2024,delivered,paid,upi,482c692c-5129-40a2-8fbd-7e9c275b104a
53,cad26de5-947c-4bfc-93b3-39018710c85b,280,5952.25,1750.1,1133.82,149.97,6188.02,15-09-2024,13-05-2024,processing,not paid,cod,ef44dbaa-6e9c-47f0-973d-23d44e58abc9
54,bb92fa28-cbac-4b85-9c6e-3fae575b02ea,924,9914.77,615.72,10453.37,151.24,8151.96,06-04-2024,10-05-2024,delivered,not paid,cod,0c027225-0590-4f93-9d2f-60e490e986b8
55,2c4a0231-abe6-4a33-a2d7-48cf5cb702a2,584,2176.98,803.8,4612.36,421.27,7177.43,10-03-2024,25-05-2024,placed,not paid,netbanking,4b935881-1665-45d9-a71c-a2661c56d47d
56,a4922daf-1078-436f-add6-6e85fb84ce2f,704,8216.32,801.12,3470.27,192.15,9122.59,19-06-2024,15-02-2024,delivered,paid,netbanking,2dbeb343-36f0-4457-994c-db18559cbbb2
57,d6da143d-ddee-4d79-a154-28df433177ca,698,7467.2,301.62,3772.74,121.61,572.96,31-01-2024,17-07-2024,shipping,not paid,netbanking,8f1749bf-cc43-470c-9491-84cbca12569f
58,57df13ed-737a-4b6d-92d3-e361f65511cb,448,2029.9,1711.63,1934.99,122.12,2929.93,23-04-2024,16-09-2024,processing,not paid,upi,c10ca619-3269-4c8c-8501-18730505ec17
59,99e66ae3-0c43-443b-b749-53f6d9de2662,964,6628.75,82.37,4911.18,408.94,4855.43,01-06-2024,27-03-2024,processing,not paid,netbanking,2809af1f-811a-44a0-8417-1fe548769dce
60,4f866e2f-be40-42b0-a056-55403c949fc2,587,7791.34,277.1,8594.26,143.97,9159.88,28-02-2024,18-04-2024,processing,not paid,cod,b6b1c134-a52b-4923-a50b-bba4d3f22f5b
61,9c46bda4-a944-4fbf-9538-60e8c0a4fb22,779,2524.83,275.03,1283.92,182.98,9506.83,20-03-2024,05-04-2024,placed,not paid,upi,5699fcab-7a51-4c30-9ad0-51a6b9fb2385
62,8a7cee68-70eb-4af7-8667-8d7059f7dc95,513,2810.94,172.83,3274.95,80.72,4883.84,01-09-2024,12-08-2024,shipping,paid,upi,f8620a17-5b06-446e-a19f-17a928c0e114
63,4857b6e3-4727-48d6-8d1d-d9ee62888a41,81,3141.5,830.41,9768.41,316.84,9615.96,06-07-2024,27-04-2024,delivered,not paid,netbanking,e62d935c-74d6-49ce-b847-f8a754e00587
64,a84bdc2e-b69f-492c-a03f-a4c61238104e,4,5964.62,1686.27,883.77,84.83,4966.68,28-09-2024,24-09-2024,shipping,paid,cod,6d1bcfa4-e659-4c24-9157-042f109be0d3
65,4b5585ff-b8e1-4462-b95c-d747f33c649a,703,2302.36,1775.35,4097.65,399.41,4846.89,03-02-2024,22-05-2024,placed,paid,cod,bde29887-66e5-4326-8e05-aa6b71489388
66,738293e9-e747-42bd-97a1-1a84e38fa2b6,511,1753.04,932.17,8984.55,493.51,4881.72,23-01-2024,01-05-2024,placed,paid,cod,e1b7fc2a-ea59-47af-b600-86819bd4b98b
67,be1756b9-f71e-43a2-a1bd-8ca75d214593,519,6711.61,609.74,8230.34,392.75,2354.08,14-03-2024,27-02-2024,delivered,paid,upi,cfe77587-8588-4f80-8170-2747749ae615
68,4ce00e31-4b08-47ee-962f-14d636fb0f62,85,8759.38,253.61,6796.42,179.04,6080.48,11-08-2024,11-03-2024,shipping,not paid,cod,7527dd99-bad7-4469-8737-5538523125c1
69,ce36b5ca-03f5-4d9c-bf10-800b646bd949,593,2749.72,332.47,10519.43,103.13,4096.88,23-08-2024,04-01-2024,placed,paid,upi,516e053e-a74c-4078-b14a-fcb39017a60e
70,c9df8698-dafa-4615-a80d-3e80147b2c4d,563,7592.15,13.31,4651.75,365.69,7783.09,18-07-2024,01-02-2024,processing,paid,netbanking,76937ebc-c4d0-4e27-8dd2-6177140945a5
71,dc515336-7174-467d-aa47-f32b841d5429,747,4211.59,1946.86,10858.78,53.4,2416.4,15-03-2024,01-05-2024,delivered,paid,cod,f757946a-7617-4c45-822d-70b1764b1a2e
72,29c39c0b-eda8-49e5-9f41-7d36fb32584d,890,4237.19,898.92,8303.82,190.13,10848.78,09-04-2024,15-03-2024,delivered,not paid,cod,22e54550-b023-4e46-8f27-6da98ffdd5c9
73,ecca7151-0423-4482-b474-75b3a3698da9,691,1142.41,1641.52,1132.99,294.49,8059.27,25-05-2024,06-08-2024,placed,paid,upi,f9c583b9-661c-4f07-9a7e-d2d1a2944146
74,a64b86ec-1c9a-4487-b36a-c8bb013cb28c,148,1569.24,677.69,11425.19,390.34,7657.23,05-03-2024,26-04-2024,processing,paid,upi,45794e4b-29d4-4ba9-9830-a7295587dd2b
75,855d0d71-219d-40e1-9b69-8c7d333d4948,963,6832.86,1118.93,10980.5,418.66,924.41,13-04-2024,07-06-2024,placed,not paid,upi,183d07b3-3736-4b83-b537-336e05b20f3e
76,5bb01f4f-77a5-441d-acb3-fceb8839c3a3,443,1175.43,1459.17,3883.45,357.09,2865.21,09-08-2024,12-07-2024,processing,not paid,upi,5dc39897-0482-440d-b41b-c501840517f3
77,5c99de41-c57b-47da-87b8-87c32c2ee4a7,122,7176.69,1956.67,8078.23,306.8,10236.62,23-06-2024,30-09-2024,processing,paid,upi,0e655d14-f821-4194-b051-6e4a21fcfa43
78,d82d5292-c9de-4074-aab7-3e229ca91b92,222,7391.51,1142.19,9205.75,106.59,10803.12,16-04-2024,24-01-2024,placed,paid,netbanking,8a661a98-7234-4728-87a9-11745402d401
79,8a9a9a97-7b4e-4085-9b3b-ca2c6bf71a17,35,4104.14,507.65,8480.28,351.95,9153.98,21-09-2024,23-07-2024,delivered,not paid,cod,d8255fc2-7b55-4431-bb84-ed5fd00310bc
80,c04e9bd3-3459-420b-9f14-1aef56fd2be5,864,2212.49,1135.59,6148.83,126.32,3247.29,29-01-2024,19-05-2024,delivered,not paid,upi,a36481bd-796c-42b0-b786-92a182b828fc
81,c7f0f997-5774-4759-baaf-8ab997758f3b,743,8947.04,14.8,8978.38,301.24,3093.97,01-05-2024,05-03-2024,shipping,not paid,upi,2f871f9b-e645-4abe-a35f-a128ebda2969
82,def52820-1c9d-4ffe-9ab3-e4dbef7ef199,801,629.72,583.18,8641.49,420.68,1331.67,25-04-2024,24-09-2024,delivered,not paid,cod,0a60a295-9316-4ad0-9ed0-44bc7b3f342f
83,62d9a19a-4b6d-4642-9c5f-4ca3bcb371d9,163,9904.39,915.51,8995.89,455.95,1655.05,10-01-2024,28-07-2024,delivered,paid,upi,e68cf8dc-73bb-453c-9b31-c796bfb508f3
84,41134002-bac9-4106-9c31-cc5a8b9fe717,841,8188.23,1411.41,4614.3,244.8,4050.91,08-04-2024,22-07-2024,processing,paid,upi,f513f8ef-6180-46f6-ab7f-dc22c6f23720
85,7fc57b75-75ea-408a-9891-f9160eef069c,963,9902.12,1339.52,9320.63,254.34,10860.6,07-09-2024,14-06-2024,placed,not paid,upi,f20b0c5e-4005-48a9-b3ab-9fe95ad0aeb2
86,b41232c9-71de-4ea6-baf8-09cfc6e17708,548,4353.92,1578.93,9473.86,78.72,3935.58,30-04-2024,13-06-2024,placed,not paid,cod,ea91e03a-0e16-4215-9632-6bdec02ffa61
87,6be53c0c-6908-4bdf-9639-b6527291a664,503,6014.39,504.22,4464.6,317.04,5703.13,13-08-2024,29-05-2024,placed,not paid,netbanking,c3bfc919-b261-40ff-ad3a-077be2385f8f
88,68505e91-d003-4757-a166-b64c8b6de07a,34,2409.3,855.21,11364.11,330.98,9935.94,27-06-2024,08-08-2024,shipping,not paid,netbanking,57ba6f64-6d53-4a11-ad44-341d4292d8c8
89,7c1ed05c-9c39-4641-82d9-2772d62d81cd,226,7282.2,1524.53,5191.97,329.83,4718.7,27-04-2024,05-10-2024,placed,paid,netbanking,6beaffc6-1cc1-4ea3-90c6-3bc9d99203b8
90,274c91f5-f47a-439c-96fe-6bef5b93ec4b,429,7426.35,1005.87,10011.17,134.54,940.9,01-05-2024,17-07-2024,placed,not paid,netbanking,bd9682f5-01fe-49ca-a3cb-f3d042c35ddc
91,e5775d2c-0b3b-4166-84b5-92c3b056620e,535,9771.62,1749,3643.33,163.09,7524.86,30-05-2024,20-07-2024,shipping,paid,upi,666275b7-fa0d-47bc-abfd-30a418779ca9
92,98dd4d9c-fbb4-4687-8905-4a168cf37600,608,898.57,308.12,1125.86,153.84,4566.71,26-06-2024,21-08-2024,delivered,not paid,upi,4fece359-1948-4392-af19-ecca125db460
93,e7026514-c51f-4627-811a-d8384ca9ab85,221,5025.02,684.51,7198.07,395.9,10244.25,24-03-2024,16-09-2024,placed,paid,cod,9668d7ce-2559-4761-b778-97dcae5b3d9e
94,40f35b43-bc3b-46a1-9e89-271d515318e8,212,8851.44,1780.05,7250.2,380.9,7142.53,15-07-2024,10-05-2024,placed,not paid,netbanking,a9b9d521-6709-4f78-aa4b-f0bdff7c20bc
95,0c388e58-9dcf-4495-8ed1-f0b35a7484cb,286,5107.65,1140.4,7426.62,476.13,7587.62,20-02-2024,02-10-2024,placed,paid,upi,1cf3e851-b69a-4ef1-a10e-7492dc9dc2cb
96,2940e7c0-6a1b-4475-a542-2284ee58b99d,471,2955.66,955.17,10257.61,296.13,8085.6,07-05-2024,27-03-2024,delivered,paid,upi,8330e677-2787-4162-9717-cbabc4a4d94e
97,d6320568-d65e-4625-a6b1-a060dd0a506c,254,7091.58,1242.03,1931.59,328.1,5409.69,16-01-2024,02-06-2024,delivered,paid,netbanking,95786222-ffed-4403-8fc2-30f05a93f372
98,7a8c8444-5f73-4ac1-bece-22a1e4b1f648,888,9319.52,750.06,2530.93,76.63,3696.21,02-02-2024,22-06-2024,processing,not paid,netbanking,39609f31-16d9-419f-864a-0fd87f57f404
99,a1abc99f-0073-4ab4-9864-cf8fe4d96bfd,181,7697.79,838.13,3344.92,332.82,3842.37,11-02-2024,01-03-2024,processing,not paid,upi,0bf0e4a6-c635-4a89-a920-83fc5f9d999a
100,e424c62d-56de-4226-bcef-0a1f9aeabe70,39,4804.98,1675.22,7179.14,65.85,6114.65,29-01-2024,13-01-2024,placed,paid,upi,30424c0b-bf42-461d-8f1b-7903a45b0c4a
101,7070391c-aa3f-4e27-813c-c533e56b6b16,326,1248.55,30.56,11751.27,339.43,9559.52,01-07-2024,16-05-2024,placed,paid,netbanking,3ab60d35-c3d3-4464-90fa-e4836e9fdf5f
102,3f617f3f-85de-47b2-aff9-63823ff4a5e8,749,7009.13,239.47,11429.33,494.2,10772.35,28-09-2024,15-09-2024,shipping,paid,cod,4141b4d7-ff38-4c40-95f0-e625897d37eb
103,bdac5b14-4853-456c-8eb2-472ad61cb7e7,677,7211.9,935.28,1423.7,386.75,9854.04,07-03-2024,30-06-2024,placed,not paid,cod,fbf01d65-025b-4236-89d0-66d1a5b351ef
104,f2aeeb00-99c2-4908-a81a-39cd36e2b029,593,3212.74,1762.81,2220.28,291.69,9055.87,21-09-2024,01-05-2024,shipping,paid,netbanking,00e48da0-e81b-43ae-9f1d-0a18aa2bf550
105,53a5eabd-8c3d-4194-adb3-8b2ff5bbdf12,505,9880.09,1152.11,9478.31,60.98,4482.39,04-05-2024,08-01-2024,shipping,not paid,upi,ee28e768-04a3-424e-959d-ebff712be42f
106,4eddf5d1-8a3d-438a-81bc-232838a30f4a,703,5426.25,1029.32,11860.23,239.39,667.57,01-02-2024,07-04-2024,processing,not paid,upi,73ecada1-fc16-4e37-916f-b83f1f9be3f6
107,84c2ce0b-7c5c-4742-979c-813bd6701fbc,302,2192.49,1296.64,8439.69,103.04,6669.05,06-02-2024,14-05-2024,placed,paid,netbanking,fb1ce6a5-e129-486e-a8a5-f39bd2760995
108,f5d9606e-4305-4e72-a0bd-1d19e952bc16,189,2193.49,201.98,1530.32,62.57,10896.36,23-07-2024,21-03-2024,placed,not paid,netbanking,2e5b7966-9b3a-4297-a2bb-99c0b131095a
109,7ebc15f7-aac7-4248-879f-94ef1f6cfa0b,291,1904.04,830.16,6658.32,59.82,8294.06,06-02-2024,31-05-2024,shipping,paid,netbanking,279e8946-72fe-4106-8997-da0d2018af34
110,8eff330e-be74-48c7-baa6-bc0ebfcefd63,94,7712.55,752.35,10103.9,372.04,3826.01,16-02-2024,13-04-2024,shipping,paid,upi,4cb8f75d-1c16-4683-9a98-a54ec539f0a0
111,f58fc659-e1fb-474f-b385-9dcfe5030db7,117,7750.47,159.26,5076.65,499.56,584.87,11-04-2024,10-07-2024,placed,paid,upi,364992f6-c81d-4aa3-b8a4-1055fa26ff28
112,d4feaee8-49a4-42b3-bc1d-06930bcf607b,596,8177.38,1494.69,9650.57,238.52,3163.81,05-03-2024,05-09-2024,shipping,not paid,upi,623f3902-48de-43d1-b5d1-500f31e839b2
113,86c213d6-5eab-4d79-8b4d-55368d0e3691,534,3181.8,1962.48,4157.57,466.08,2983.78,09-06-2024,13-08-2024,processing,not paid,upi,1cd6441b-d3c5-4a37-8581-41131ca0ad7b
114,b3082177-e854-483f-8cde-9ffa46338fa5,281,9310.77,1881.41,7302.91,478.18,9763.48,20-03-2024,08-01-2024,delivered,not paid,upi,5be26938-354e-4fc7-a486-e01d74f2e433
115,cfceaffd-53a7-4c76-97d2-e666c16df69e,786,4589.75,1552.06,4471.09,170.22,4656.29,06-04-2024,04-07-2024,delivered,paid,cod,571681c4-ad2d-426a-96cf-4b0a41284b55
116,fdaeff1e-0979-4acc-bbdc-07b09c12cb45,594,9256.72,1576.58,4414.29,456.23,1757.95,24-05-2024,18-08-2024,processing,paid,netbanking,b393f795-9a7f-4cc5-ae05-7add0bf93ac1
117,8fd1942c-7fcc-4191-b94b-ae0e7ca203a1,103,8280.75,1914.34,7169.98,449.57,6839.87,30-01-2024,02-05-2024,shipping,paid,upi,f14f44eb-096d-4f62-a0c4-da4b59686c2d
118,9a6b7626-460c-4697-a5ea-9844c40f8e7f,507,8943.17,1237.88,8756.64,264.43,10298.92,03-02-2024,04-09-2024,delivered,not paid,upi,6e638542-885f-4628-95b5-c63bf78edd2b
119,89a1f5cd-73a0-4150-b4e2-a879f2f1f8bf,874,969.58,1774.98,8354.24,66.29,9032.66,05-01-2024,14-02-2024,delivered,not paid,netbanking,74b000ab-7f30-4371-86f8-3b5049a3ba7a
120,530213cc-cfce-4cca-99b9-0e222ff3d6b5,201,7090.4,1149.7,4687.43,326.22,10776.94,10-01-2024,22-06-2024,delivered,not paid,cod,b1efb3ec-712f-4426-94d1-6c5d38dfd0db
121,b3adc071-e902-4fae-933c-8171eab5980d,507,9622.99,367.75,915.64,151.81,4792.45,20-08-2024,07-03-2024,shipping,paid,netbanking,4f8a866e-df38-4785-9109-b69aed1d0fe3
122,75592c6e-37f3-4601-b065-52a3bc803152,270,7023.89,1426.31,8667.18,360.99,6188.8,11-02-2024,13-05-2024,placed,not paid,cod,64895193-0925-4ccc-b47d-d4a5048f3f4d
123,363aa4af-f978-45f5-8427-58c85d2cb2b5,937,3209.52,1965.84,3817.4,375.92,9375.83,08-03-2024,07-05-2024,processing,paid,upi,21b1beb6-0c50-41b8-9462-20610e7ab555
124,6cf7126e-59ce-4b93-a127-a100d7edff55,354,1837.71,63.68,9741.18,301.82,9780.08,29-04-2024,12-09-2024,shipping,not paid,netbanking,7f36c3be-9132-499a-8627-1e0fca84a409
125,a353c4e4-16ce-4cde-ac5f-9873a9c0e053,498,7037.42,1021.27,7610.49,175.69,8126.91,14-01-2024,13-08-2024,placed,not paid,upi,e3b40a70-91c4-433a-a793-3eaa6c31e73d
126,07151d53-054b-43e5-aed8-3015ef072ea4,932,5454.54,525.44,6055.85,475.11,5409.95,30-01-2024,10-06-2024,shipping,not paid,netbanking,82985bf0-0cd7-4af7-bf99-be23f96c207e
127,6b5a1911-d06c-4221-b80c-8ca79cc62556,592,4367.63,1198.52,8744.37,496.51,6281.26,08-01-2024,05-06-2024,shipping,not paid,netbanking,bf4cefc7-5b0a-448f-883b-4765ccc33c5e
128,db214b2e-e1d8-4864-a500-35256e07f86b,548,5382.19,1714.41,2580.99,261.52,3868.58,13-09-2024,02-07-2024,shipping,not paid,netbanking,be1696d1-ab27-48a0-9b6d-2ccdb0dbc1bc
129,fa5045ea-33f6-459b-bd7a-23762c6d4230,808,8693.69,1095.63,3760.2,244.45,4477.98,09-05-2024,11-03-2024,placed,not paid,cod,0852a90d-c85e-4278-901a-bffe49dc3115
130,19e601da-adc7-4e00-b39d-c20350ae1eec,868,5186.22,236.36,8341.56,180.16,3441.83,20-01-2024,18-09-2024,processing,not paid,upi,503829fc-78ec-411e-9b3f-57b80580b638
